round,client,result_type,num_examples,client_file,client_id,accuracy,f1,loss,auroc,other_metrics
1,,evaluate,11523,China_overall.csv,6993166057295168953,0.3334201162891608,0.2390019760309039,1.0983328342437744,0.5291724210195463,
2,,evaluate,11523,China_overall.csv,6993166057295168953,0.3493013972055888,0.2526136590261122,1.098039960861206,0.5516618702766636,
2,,evaluate,6467,Paraguay_overall.csv,3123866886184336796,0.3366321323643111,0.1671108713757493,1.094622015953064,0.4537304728185834,
2,,evaluate,3071,India_overall.csv,7968433594047658313,0.8876587430804298,0.5025444040734456,1.0125286340713502,0.5642409406706507,
2,,evaluate,18832,UK_overall.csv,9490187993663440211,0.7492034834324554,0.2844036454430078,1.026013195514679,0.5510147795971989,
2,,evaluate,8400,Mexico_overall.csv,12689485060908718005,0.0523809523809523,0.0442360469142697,1.1038379192352294,0.5414807604243621,
2,,evaluate,6424,Denmark_overall.csv,18332747813055081962,0.3044831880448319,0.1961728799462188,1.0784477233886718,0.5095577393094425,
3,,evaluate,18832,UK_overall.csv,9490187993663440211,0.7492565845369583,0.2844109952200849,1.02545907497406,0.5518309744297119,
3,,evaluate,8400,Mexico_overall.csv,12689485060908718005,0.0734523809523809,0.0587376538286603,1.1022147417068482,0.5646597012914577,
3,,evaluate,6467,Paraguay_overall.csv,3123866886184336796,0.3377145507963507,0.1684189546541785,1.095166563987732,0.4578696563334614,
3,,evaluate,6424,Denmark_overall.csv,18332747813055081962,0.3170921544209215,0.2031886296824517,1.0788002490997315,0.5136906771419097,
3,,evaluate,11523,China_overall.csv,6993166057295168953,0.3546819404668923,0.2600481563232814,1.0982953548431396,0.562849699344578,
3,,evaluate,3071,India_overall.csv,7968433594047658313,0.8892868772386845,0.5018006929662958,1.0096794366836548,0.5331641714959537,
4,,evaluate,8400,Mexico_overall.csv,12689485060908718005,0.0739285714285714,0.0593986725309187,1.102442407608032,0.5820656648688806,
4,,evaluate,6424,Denmark_overall.csv,18332747813055081962,0.3164694894146949,0.2003123732088748,1.0790436267852783,0.520495755196432,
4,,evaluate,11523,China_overall.csv,6993166057295168953,0.4040614423327258,0.2941939646616251,1.0964621305465698,0.5818655395763381,
4,,evaluate,18832,UK_overall.csv,9490187993663440211,0.7495220900594732,0.2845076516085613,1.0253933787345886,0.5549751392714097,
4,,evaluate,3071,India_overall.csv,7968433594047658313,0.8889612504070336,0.499464036220717,1.0087547659873963,0.5120897183552923,
4,,evaluate,6467,Paraguay_overall.csv,3123866886184336796,0.3428173805473944,0.1724893312991265,1.0946728944778443,0.4590407305646052,
5,,evaluate,11523,China_overall.csv,6993166057295168953,0.3542480256877549,0.2662216085026577,1.098258900642395,0.5897472197978133,
5,,evaluate,18832,UK_overall.csv,9490187993663440211,0.7494158878504673,0.2856153208485533,1.024834251403809,0.5494403480224768,
5,,evaluate,6424,Denmark_overall.csv,18332747813055081962,0.3075965130759651,0.1949100455582527,1.0790602684020996,0.5217431797481684,
5,,evaluate,6467,Paraguay_overall.csv,3123866886184336796,0.3431266429565486,0.173466989155128,1.094804859161377,0.4628933360263811,
5,,evaluate,8400,Mexico_overall.csv,12689485060908718005,0.0867857142857142,0.0691755106231298,1.1017302513122558,0.5919010532948039,
5,,evaluate,3071,India_overall.csv,7968433594047658313,0.8886356235753826,0.4995138625270001,1.008353579044342,0.5175607123581453,
6,,evaluate,3071,India_overall.csv,7968433594047658313,0.8879843699120807,0.3594484685071648,1.0083117604255676,0.5099130928812915,
6,,evaluate,8400,Mexico_overall.csv,12689485060908718005,0.0707142857142857,0.0590193277950252,1.1040217399597168,0.5842902932797408,
6,,evaluate,18832,UK_overall.csv,9490187993663440211,0.7496282922684792,0.2860610289262871,1.023067057132721,0.5551513303845762,
6,,evaluate,11523,China_overall.csv,6993166057295168953,0.3793282999218953,0.2862791456242621,1.0976826906204225,0.6101667563172762,
6,,evaluate,6467,Paraguay_overall.csv,3123866886184336796,0.3404979124787382,0.1732986528957699,1.0947169542312625,0.4746405200425163,
6,,evaluate,6424,Denmark_overall.csv,18332747813055081962,0.2887608966376089,0.1773471174834886,1.081614661216736,0.513720590201906,
7,,evaluate,18832,UK_overall.csv,9490187993663440211,0.7492565845369583,0.2854525279031547,1.0244585156440735,0.5541351797773406,
7,,evaluate,11523,China_overall.csv,6993166057295168953,0.3726460123231797,0.2825416817035466,1.097117042541504,0.6123224763704024,
7,,evaluate,8400,Mexico_overall.csv,12689485060908718005,0.0766666666666666,0.0625693327050439,1.1034502029418944,0.5885808954675996,
7,,evaluate,6424,Denmark_overall.csv,18332747813055081962,0.2979452054794521,0.1825563403086564,1.0796222925186156,0.5225013571877912,
7,,evaluate,6467,Paraguay_overall.csv,3123866886184336796,0.3417349621153548,0.1732030136695343,1.0955276250839234,0.47732094365559,
7,,evaluate,3071,India_overall.csv,7968433594047658313,0.8892868772386845,0.4996560197197179,1.0072365045547484,0.523083659472642,
8,,evaluate,8400,Mexico_overall.csv,12689485060908718005,0.0885714285714285,0.0715368225460653,1.1037774801254272,0.5983553643273125,
8,,evaluate,3071,India_overall.csv,7968433594047658313,0.8879843699120807,0.3593457298732207,1.0049291968345642,0.5280412415126803,
8,,evaluate,6424,Denmark_overall.csv,18332747813055081962,0.2974782067247821,0.1813480251204101,1.0796186208724976,0.5256887420464249,
8,,evaluate,11523,China_overall.csv,6993166057295168953,0.3657033758569817,0.2810487518043989,1.0988593816757202,0.6118916724277329,
8,,evaluate,6467,Paraguay_overall.csv,3123866886184336796,0.3391062316375444,0.1723900283652481,1.0950714588165282,0.4992563425388091,
8,,evaluate,18832,UK_overall.csv,9490187993663440211,0.7492565845369583,0.2854609649103693,1.0231008291244508,0.5570349492577247,
9,,evaluate,3071,India_overall.csv,7968433594047658313,0.8892868772386845,0.4996560197197179,1.0078793168067932,0.5322315607012911,
9,,evaluate,6467,Paraguay_overall.csv,3123866886184336796,0.3432812741611257,0.1750982456784833,1.0949545860290528,0.4990002767073473,
9,,evaluate,18832,UK_overall.csv,9490187993663440211,0.7490441801189465,0.2871252091561927,1.023430061340332,0.5624820444178456,
9,,evaluate,6424,Denmark_overall.csv,18332747813055081962,0.2876712328767123,0.1739426137191743,1.079847812652588,0.5215128795220942,
9,,evaluate,8400,Mexico_overall.csv,12689485060908718005,0.0953571428571428,0.0770003061118296,1.1037174463272097,0.5847603917977943,
9,,evaluate,11523,China_overall.csv,6993166057295168953,0.3772455089820359,0.2847762155877736,1.0977409124374389,0.6107823038748517,
10,,evaluate,11523,China_overall.csv,6993166057295168953,0.3683936474876334,0.27951076635621447,1.0994420528411866,0.6081896643913819,
10,,evaluate,3071,India_overall.csv,7968433594047658313,0.8873331162487789,0.3592032611028139,1.0098876357078552,0.5234240785055463,
10,,evaluate,8400,Mexico_overall.csv,12689485060908718005,0.11678571428571428,0.09300448368865875,1.1034071445465088,0.5883271912099319,
10,,evaluate,6424,Denmark_overall.csv,18332747813055081962,0.29420921544209216,0.1788130313101418,1.0793851613998413,0.5285729328364167,
10,,evaluate,18832,UK_overall.csv,9490187993663440211,0.7472918436703483,0.2875953167444211,1.0227097749710083,0.5622261794844046,
10,,evaluate,6467,Paraguay_overall.csv,3123866886184336796,0.3435905365702799,0.17510061720459066,1.0949047803878784,0.507976418031363,
