round,global_accuracy,global_f1,global_auroc
1,0.5839363888144375,0.28938902586399,
2,0.8123963897587032,0.2955820180275529,0.5329881425790423
3,0.8095325221846126,0.29833801668199783,0.5192208279225968
4,0.7371584699453552,0.2894561207177955,0.5907576489509465
5,0.7327754532775453,0.2871996460642481,0.5262438657861714
